"language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0c77438a24f423cc22c4edc0e81f4d8d","Cephaloziella divaricata (Sm.) Schiffn.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0cd7582c6a0f6d9076935b1ad46fd12e","Herzogiella seligeri (Brid.) Z.Iwats.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0d2f28197e52457a17a710ba7c07acc4","Philonotis calcarea (Bruch & Schimp.) Schimp.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0d3c67e3a63fc7e509a42311029205f5","Cephalozia lunulifolia (Dumort.) Dumort.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0d6272790e517ec5bd6bb3f9c2652765","Sphagnum girgensohnii Russow","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0d784ab91332fefbd6076730976d02c4","Isothecium holtii Kindb.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0daec8d89e05bb265d480b096043371f","Pohlia lescuriana (Sull.) Ochi","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0dd5d679614374a52599fe90354e8232","Calypogeia muelleriana (Schiffn.) Müll.Frib.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0def68b7b99d27f3fd79c775637da37f","Aneura maxima (Schiffn.) Steph.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0e69acb8a9f4b5f46554b4cc386cf886","Bryum caespiticium Hedw.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0ecc5a0bd5b71787a413db835934b102","Bryum donianum Grev.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0f6c668d8aaf26090991c14451c43dbe","Distichium capillaceum (Hedw.) Bruch & Schimp.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0f6cb31d170a9235b812bacc9842a469","Tetraplodon mnioides (Hedw.) Bruch & Schimp.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:10084cc8823c405e27e139ad2026df65","Riccardia multifida (L.) Gray","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:101a6e755eb0c3ae6f14fc30cc83cb70","Lophozia longiflora (Nees) Schiffn.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:118c42fd376aaab6adf936f1dfe318e6","Cryphaea heteromalla (Hedw.) D.Mohr","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:11b094ba5fff04d29fd5571840f03905","Isothecium myosuroides Brid.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:11eaf3c90829b5757fc289ea715302a1","Seligeria acutifolia Lindb.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:123f09c9c0dffa648641044b2d96585a","Bryum neodamense Itzigs.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:1262f4ddaf84691d5eef68f497d12187","Reboulia hemisphaerica (L.) Raddi","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:12eccb9d3681e5cbdf9576036aac8f55","Cololejeunea minutissima (Sm.) Schiffn.","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:1310e4f98e099157b98fcce4af2fb039","Bryum weigelii Spreng.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:1323a4da6e3f9a87a22727aafa99430c","Racomitrium affine (F.Weber & D.Mohr) Lindb.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:13288ba72769c6e69f180f0815782895","Amblystegium confervoides (Brid.) Schimp.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:13bc5e0986fe6423b0991681f30028a9","Philonotis caespitosa Jur.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:157ea227013c11a6f7a20a1280b84baf","Zygodon forsteri (Dicks.) Mitt.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:1590db30b68df636738d9dea72d4814e","Marsupella emarginata (Ehrh.) Dumort.","Plantae","Marchantiophyta","species","ICN"
